Relatorio de Producao x Defeitos
09/2021 ;Producao:;;
Data;Estab;Grupo Maquina;Centro Trabalho;Desc. Centro Trabalho;Defeito;Item;Un;Fornec;Nome Forn.;Qtde.;PPM;R$ Defeito;Refer.;Narrativa
01/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;302;18102003905     ;UN;       0;PEF.        ;      5,0000;              0,00000;    281,92;        ;Quebrado                                
03/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;301;18102005827     ;UN;       0;PEF.        ;      2,0000;              0,00000;     80,10;        ;Riscos                                  
03/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;301;18102407405     ;UN;       0;PEF.        ;      2,0000;              0,00000;     35,30;        ;Riscos                                  
03/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;301;18702130005     ;UN;       0;PEF.        ;      2,0000;              0,00000;     90,86;        ;Riscos                                  
03/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;312;18800001305     ;UN;       0;PEF.        ;      3,0000;              0,00000;     32,41;        ;Lascados                                
09/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;302;18702312005     ;UN;       0;PEF.        ;      2,0000;              0,00000;    234,78;        ;Quebrado                                
13/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;302;18800000105     ;UN;       0;PEF.        ;      2,0000;              0,00000;    234,78;        ;Quebrado                                
13/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;302;18800001705     ;UN;       0;PEF.        ;      2,0000;              0,00000;    234,78;        ;Quebrado                                
14/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;302;18102172905     ;UN;       0;PEF.        ;      1,0000;              0,00000;    280,33;        ;Quebrado                                
16/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;302;18102410405     ;UN;       0;PEF.        ;      1,0000;              0,00000;     93,39;        ;Quebrado                                
16/09/2021;18   ;Vitrum   ;200             ;Bilateral                               ;301;18702110005     ;UN;       0;PEF.        ;      2,0000;              0,00000;     84,16;        ;Riscos                                  
