Relatorio de Producao x Defeitos
10/2021 ;Producao:;;
Data;Estab;Grupo Maquina;Centro Trabalho;Desc. Centro Trabalho;Defeito;Item;Un;Fornec;Nome Forn.;Qtde.;PPM;R$ Defeito;Refer.;Narrativa
08/10/2021;18   ;Vitrum   ;200             ;Bilateral                               ;800;18800001705     ;UN;   55799;CEBRACE     ;      3,0000;              0,00000;      0,00;        ;Bolha                                   
04/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102003405     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;     49,85;        ;Bolha                                   
04/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102005927     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;     43,72;        ;Bolha                                   
04/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102110305     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    118,08;        ;Bolha                                   
04/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102111905     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    135,56;        ;Bolha                                   
04/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102154627     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    159,63;        ;Bolha                                   
05/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702070005     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;     39,61;        ;Bolha                                   
05/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702122005     ;UN;    6523;LAPIDA€ÇO   ;      2,0000;              0,00000;     77,84;        ;Bolha                                   
05/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702203005     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;     18,06;        ;Bolha                                   
05/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702306005     ;UN;   55799;CEBRACE     ;      2,0000;              0,00000;    199,06;        ;Bolha                                   
05/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702319005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    157,41;        ;Bolha                                   
05/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702325005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    164,04;        ;Bolha                                   
05/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702328005     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;    187,76;        ;Bolha                                   
05/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18901227705     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     48,81;        ;Bolha                                   
05/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18901232805     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     43,01;        ;Bolha                                   
06/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102004405     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     56,38;        ;Bolha                                   
06/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102005827     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;     40,05;        ;Bolha                                   
06/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102111605     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    117,40;        ;Bolha                                   
06/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102111927     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    433,56;        ;Bolha                                   
06/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102115705     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    206,59;        ;Bolha                                   
06/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102115927     ;UN;   55799;CEBRACE     ;      2,0000;              0,00000;  1.291,90;        ;Bolha                                   
06/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102172505     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    192,44;        ;Bolha                                   
06/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102174827     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;    383,22;        ;Bolha                                   
06/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102407005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    132,77;        ;Bolha                                   
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102004905     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     64,53;        ;Bolha                                   
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18700007505     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    170,13;        ;Bolha                                   
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702223005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     30,56;        ;Bolha                                   
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702234005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     32,88;        ;Bolha                                   
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702238005     ;UN;   55799;CEBRACE     ;      2,0000;              0,00000;     78,86;        ;Bolha                                   
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702282005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     85,95;        ;Riscos                                  
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702292005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     84,76;        ;Bolha                                   
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702310005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    108,48;        ;Fio de Cabelo                           
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702312005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    117,39;        ;Bolha                                   
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702331005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    175,48;        ;Bolha                                   
07/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702353005     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;     53,33;        ;Bolha                                   
08/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18101251705     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    108,06;        ;Bolha                                   
08/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102000327     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;     99,17;        ;Bolha                                   
08/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102003905     ;UN;   55799;CEBRACE     ;      2,0000;              0,00000;    112,77;        ;Bolha                                   
08/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102004405     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     56,38;        ;Bolha                                   
08/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102110405     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     92,92;        ;Deformação                              
08/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102111405     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    108,33;        ;Bolha                                   
08/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102115605     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    179,99;        ;Bolha                                   
08/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102115727     ;UN;    6523;LAPIDA€ÇO   ;      2,0000;              0,00000;  1.345,00;        ;Bolha                                   
08/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102154705     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     74,15;        ;Bolha                                   
08/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18901285505     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    114,12;        ;Bolha                                   
11/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702203005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     18,06;        ;Bolha                                   
11/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702234005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     32,88;        ;Riscos                                  
11/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702239005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;     42,68;        ;Bolha                                   
11/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702292005     ;UN;   55799;CEBRACE     ;      2,0000;              0,00000;    169,52;        ;Fio de Cabelo                           
11/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18702327005     ;UN;   55799;CEBRACE     ;      1,0000;              0,00000;    180,91;        ;Bolha                                   
13/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102001905     ;UN;   55779;GUARDIAN    ;      1,0000;              0,00000;     32,28;        ;Bolha                                   
13/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102003805     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;     53,83;        ;Bolha                                   
13/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102005105     ;UN;   55779;GUARDIAN    ;      1,0000;              0,00000;     64,07;        ;Bolha                                   
13/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102009726     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;     70,03;        ;Bolha                                   
13/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102100905     ;UN;   55779;GUARDIAN    ;      1,0000;              0,00000;     43,99;        ;Bolha                                   
13/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102102105     ;UN;   55779;GUARDIAN    ;      1,0000;              0,00000;     38,65;        ;Bolha                                   
13/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102109805     ;UN;   55779;GUARDIAN    ;      1,0000;              0,00000;     94,50;        ;Bolha                                   
13/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102110927     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;    344,95;        ;Bolha                                   
13/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18102177005     ;UN;    6523;LAPIDA€ÇO   ;      1,0000;              0,00000;    146,13;        ;Bolha                                   
13/10/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;800;18901231205     ;UN;   55779;GUARDIAN    ;      1,0000;              0,00000;     67,89;        ;Bolha                                   
